t; gX; gY; gZ
445; -83; 20; 15
446; -88; 4; 19
447; -91; 5; 22
448; -91; 13; 16
449; -86; 17; 13
450; -88; 13; 16
451; -87; 19; 15
452; -84; 8; 16
453; -90; 17; 17
454; -89; 24; 13
455; -81; 17; 21
456; -80; 17; 14
457; -88; 14; 16
458; -87; 9; 12
459; -88; 13; 16
460; -84; 14; 20
461; -84; 6; 18
462; -87; 10; 12
463; -83; 8; 17
464; -90; 12; 14
465; -84; 12; 8
466; -81; 14; 15
467; -85; 11; 16
468; -88; 13; 13
469; -85; 11; 17
