t; gX; gY; gZ
396; -86; 13; 14
397; -85; 16; 15
398; -86; 14; 20
399; -86; 10; 14
400; -83; 17; 13
401; -90; 12; 18
402; -89; 15; 11
403; -84; 14; 11
404; -83; 14; 18
405; -83; 11; 16
406; -83; 13; 15
407; -82; 16; 11
408; -84; 11; 17
409; -78; 17; 12
410; -86; 16; 14
411; -88; 13; 15
412; -85; 14; 15
413; -84; 19; 17
414; -85; 17; 18
415; -81; 15; 17
416; -88; 13; 11
417; -86; 12; 14
418; -87; 12; 17
419; -87; 11; 16
420; -87; 6; 20
421; -81; 15; 13
422; -82; 15; 16
423; -85; 14; 13
424; -85; 17; 17
425; -92; 13; 14
426; -88; 17; 20
427; -86; 15; 14
428; -86; 11; 15
429; -94; 15; 10
430; -85; 15; 15
431; -85; 18; 15
432; -88; 18; 17
433; -82; 17; 18
434; -82; 11; 14
435; -79; 14; 15
436; -92; 12; 16
437; -88; 14; 18
438; -82; 10; 19
439; -86; 17; 20
440; -90; 11; 14
441; -84; 8; 13
442; -86; 13; 13
443; -87; 17; 17
444; -86; 13; 13
445; -88; 15; 14
446; -83; 11; 15
447; -86; 13; 16
448; -82; 11; 17
449; -86; 21; 18
450; -82; 15; 10
451; -85; 14; 15
452; -87; 16; 16
453; -87; 19; 20
454; -86; 18; 15
455; -79; 20; 21
456; -90; 11; 14
457; -83; 12; 12
458; -87; 17; 18
459; -83; 12; 16
460; -90; 11; 13
461; -80; 13; 20
462; -89; 10; 10
463; -87; 9; 17
464; -86; 12; 12
465; -89; 13; 14
466; -86; 13; 14
467; -86; 18; 14
468; -84; 13; 10
469; -84; 10; 17
470; -82; 13; 15
471; -90; 13; 15
472; -83; 10; 15
473; -93; 14; 17
474; -85; 14; 13
475; -86; 17; 14
476; -87; 8; 14
477; -81; 8; 18
478; -87; 11; 15
479; -82; 13; 15
480; -87; 19; 12
481; -92; 19; 16
482; -86; 17; 17
483; -82; 8; 15
484; -85; 7; 12
485; -84; 11; 17
486; -83; 14; 15
487; -82; 17; 16
488; -84; 17; 14
489; -89; 13; 19
490; -84; 7; 14
491; -83; 15; 14
492; -84; 12; 17
493; -91; 10; 14
494; -88; 11; 15
495; -87; 12; 14
496; -80; 11; 16
497; -81; 13; 12
498; -93; 14; 18
499; -80; 21; 14
500; -84; 15; 13
501; -84; 19; 13
502; -84; 14; 14
503; -86; 14; 15
504; -85; 13; 13
505; -81; 15; 12
506; -80; 15; 14
507; -83; 10; 12
508; -85; 11; 15
509; -87; 19; 18
510; -85; 17; 15
511; -89; 16; 11
512; -90; 16; 11
513; -83; 17; 18
514; -89; 7; 13
515; -84; 10; 17
516; -87; 12; 17
517; -85; 18; 20
518; -86; 10; 12
519; -81; 9; 15
520; -83; 14; 14
521; -86; 12; 17
522; -86; 8; 20
523; -82; 16; 18
524; -84; 7; 15
525; -90; 14; 14
526; -87; 13; 18
527; -87; 17; 15
528; -82; 10; 17
529; -85; 18; 12
530; -91; 20; 12
531; -86; 13; 18
532; -83; 10; 16
533; -87; 12; 17
534; -89; 8; 19
535; -84; 13; 13
536; -87; 17; 12
537; -88; 19; 19
538; -83; 13; 16
539; -85; 8; 21
540; -86; 15; 19
541; -82; 16; 19
542; -86; 18; 13
543; -91; 16; 18
544; -79; 18; 15
545; -86; 15; 17
546; -83; 9; 16
547; -84; 12; 15
548; -89; 13; 18
549; -86; 13; 16
550; -82; 11; 18
551; -83; 13; 15
552; -87; 17; 13
553; -87; 15; 8
554; -82; 15; 15
555; -80; 14; 17
556; -86; 17; 16
557; -86; 12; 12
558; -87; 15; 14
559; -86; 13; 11
560; -87; 15; 10
561; -84; 15; 13
562; -87; 15; 10
563; -82; 7; 15
564; -86; 14; 15
565; -89; 14; 16
566; -86; 16; 13
567; -86; 13; 15
568; -86; 8; 21
569; -86; 13; 15
570; -81; 20; 13
571; -84; 8; 12
572; -84; 14; 17
573; -81; 11; 17
574; -83; 14; 19
575; -87; 8; 17
576; -84; 18; 12
577; -85; 19; 17
578; -86; 15; 17
579; -76; 11; 18
580; -84; 11; 13
581; -82; 13; 16
582; -89; 11; 18
583; -83; 14; 15
584; -84; 16; 15
585; -87; 15; 13
586; -85; 14; 14
587; -89; 8; 13
588; -87; 7; 17
589; -79; 9; 14
590; -85; 15; 23
591; -81; 15; 16
592; -84; 11; 18
593; -84; 13; 15
594; -83; 15; 18
595; -87; 14; 15
596; -85; 17; 17
597; -80; 18; 16
598; -85; 18; 19
599; -87; 14; 15
600; -91; 10; 14
601; -84; 13; 13
602; -92; 4; 13
603; -90; 12; 19
604; -86; 14; 16
605; -87; 17; 18
606; -81; 10; 17
607; -83; 8; 19
608; -84; 15; 17
609; -87; 13; 16
610; -81; 12; 17
611; -89; 9; 20
612; -85; 11; 15
613; -89; 20; 16
614; -89; 13; 17
615; -88; 11; 18
616; -87; 17; 14
617; -83; 19; 18
618; -92; 12; 10
619; -81; 16; 14
620; -90; 18; 11
621; -84; 16; 15
622; -85; 12; 15
623; -84; 16; 15
624; -86; 11; 19
625; -94; 15; 12
626; -86; 17; 17
627; -85; 11; 17
628; -81; 12; 15
629; -86; 14; 13
630; -88; 12; 13
631; -85; 19; 17
632; -88; 8; 15
633; -85; 16; 21
634; -87; 18; 14
635; -83; 18; 21
636; -83; 14; 13
637; -86; 16; 12
638; -83; 14; 18
639; -83; 18; 18
640; -85; 16; 16
641; -82; 18; 15
642; -89; 17; 14
643; -82; 15; 13
644; -87; 11; 16
645; -82; 12; 19
646; -84; 17; 16
647; -90; 15; 16
648; -87; 16; 16
649; -87; 10; 14
650; -80; 15; 15
651; -87; 13; 15
652; -91; 13; 15
653; -87; 10; 16
654; -92; 14; 13
655; -84; 12; 17
656; -86; 21; 16
657; -84; 10; 11
658; -86; 20; 15
659; -92; 15; 16
660; -88; 5; 22
661; -91; 8; 16
662; -84; 18; 14
663; -94; 17; 12
664; -84; 16; 15
665; -89; 21; 15
666; -85; 16; 17
667; -85; 12; 15
668; -87; 20; 17
669; -82; 13; 14
670; -86; 12; 15
671; -87; 17; 12
672; -90; 15; 14
673; -90; 14; 10
674; -83; 12; 12
675; -85; 16; 18
676; -88; 17; 18
677; -87; 15; 12
678; -84; 11; 20
679; -87; 14; 19
680; -84; 13; 15
681; -88; 13; 20
682; -84; 26; 11
683; -82; 7; 19
684; -94; 13; 15
685; -84; 17; 15
686; -90; 13; 17
687; -81; 15; 15
688; -89; 12; 18
689; -86; 20; 16
690; -90; 15; 19
691; -83; 11; 13
692; -85; 13; 13
693; -88; 17; 8
694; -84; 12; 16
695; -87; 16; 12
696; -86; 13; 14
697; -86; 13; 15
698; -82; 8; 19
699; -85; 16; 15
700; -83; 16; 15
701; -90; 14; 15
702; -88; 14; 17
703; -86; 14; 14
704; -84; 11; 16
705; -87; 11; 14
706; -88; 21; 16
707; -80; 12; 17
708; -92; 19; 16
709; -84; 11; 19
710; -86; 18; 16
711; -82; 15; 15
712; -84; 16; 10
713; -88; 15; 17
714; -89; 17; 14
715; -84; 18; 15
716; -86; 15; 11
717; -80; 12; 19
718; -87; 16; 15
719; -84; 18; 10
720; -84; 14; 12
721; -83; 12; 16
722; -89; 11; 16
723; -87; 13; 12
724; -82; 18; 22
725; -83; 15; 11
726; -79; 16; 22
727; -87; 10; 10
728; -89; 14; 7
729; -90; 13; 9
730; -91; 19; 15
731; -93; 18; 17
732; -85; 14; 17
733; -84; 15; 15
734; -85; 14; 18
735; -86; 10; 11
736; -88; 11; 15
737; -85; 21; 13
738; -82; 12; 15
739; -89; 18; 14
740; -81; 13; 19
741; -83; 18; 18
742; -87; 13; 12
743; -90; 14; 22
744; -83; 12; 8
745; -86; 12; 15
746; -81; 11; 19
747; -80; 16; 16
748; -88; 13; 11
749; -88; 18; 15
750; -87; 19; 19
751; -84; 11; 13
752; -86; 16; 19
753; -91; 17; 16
754; -79; 13; 18
755; -82; 11; 14
756; -83; 12; 21
757; -82; 6; 18
758; -90; 12; 16
759; -86; 14; 15
760; -80; 17; 12
761; -87; 13; 16
762; -89; 14; 21
763; -87; 20; 22
764; -87; 13; 15
765; -86; 6; 10
766; -89; 12; 16
767; -83; 18; 15
768; -88; 9; 17
769; -92; 11; 15
770; -80; 6; 15
771; -84; 14; 15
772; -81; 16; 19
773; -85; 15; 18
774; -86; 20; 15
775; -84; 15; 13
776; -89; 9; 22
777; -81; 17; 12
778; -89; 15; 10
779; -85; 11; 19
780; -78; 17; 14
781; -88; 11; 14
782; -83; 14; 15
783; -84; 14; 16
784; -92; 18; 10
785; -87; 12; 14
786; -86; 12; 15
787; -87; 12; 17
788; -84; 15; 14
789; -82; 14; 19
790; -88; 15; 14
791; -87; 18; 17
792; -87; 19; 21
793; -87; 12; 13
794; -84; 12; 16
795; -88; 10; 16
796; -88; 13; 15
797; -93; 15; 13
798; -84; 15; 16
799; -81; 9; 9
800; -83; 17; 16
801; -83; 11; 20
802; -83; 11; 11
803; -87; 11; 16
804; -89; 17; 19
805; -87; 14; 15
806; -87; 11; 18
807; -86; 15; 15
808; -84; 19; 16
809; -83; 7; 16
810; -87; 4; 19
811; -87; 13; 18
812; -84; 10; 16
813; -88; 14; 15
814; -83; 8; 15
815; -87; 17; 18
816; -88; 11; 15
817; -90; 15; 13
818; -87; 12; 16
819; -84; 18; 16
820; -84; 14; 21
821; -85; 13; 16
822; -88; 15; 18
823; -86; 13; 12
824; -86; 10; 16
825; -88; 9; 11
826; -87; 12; 15
827; -89; 14; 14
828; -87; 12; 16
